mun_code,mun_name,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02012,Balazote,2018,41.9,17.1,18.6,2.5,28,2322,93.2
02012,Balazote,2017,41.4,17.6,18.4,2.5,29.2,2359,94
02012,Balazote,2016,41.6,17.8,19,2.5,28.4,2329,94.5
02012,Balazote,2015,41.4,17.7,19,2.5,29.1,2342,93.6
02013,Balsa de Ves,2022,57.2,5.2,37.5,1.7,54.4,136,91.9
02013,Balsa de Ves,2021,56.6,6.4,38.1,1.8,54.2,126,92.1
02013,Balsa de Ves,2020,55.4,8.5,36.9,1.8,55.6,130,90.7
02013,Balsa de Ves,2019,56.1,8.3,40.2,1.8,48,132,90.8
02013,Balsa de Ves,2018,56.5,7,40.9,1.8,47.6,158,89.9
02013,Balsa de Ves,2017,55,11.9,41.3,1.8,47.9,151,85.3
02013,Balsa de Ves,2016,56.2,8.8,41.2,1.8,46.6,137,87.5
02013,Balsa de Ves,2015,56.1,9,41.2,1.8,46.7,155,85.2
02014,"Ballestero, El",2022,50.6,12.8,33.1,2.1,37.6,414,93.7
02014,"Ballestero, El",2021,48.8,13.8,30.4,2.2,36.4,427,92
02014,"Ballestero, El",2020,49.1,12.6,30.6,2.1,37,412,93
02014,"Ballestero, El",2019,49.9,11.6,31.2,2.1,38.1,398,97.7
02014,"Ballestero, El",2018,49.3,11.8,31,2.1,36.5,407,97.8
02014,"Ballestero, El",2017,49.1,11.2,29.8,2.1,37.2,409,97.3
02014,"Ballestero, El",2016,48,12.3,27.3,2.1,35.8,414,97.1
02014,"Ballestero, El",2015,47.8,12.7,26.8,2.1,37.7,425,97
02015,Barrax,2022,43.6,15.4,17.7,2.5,31.9,1863,88.4
02015,Barrax,2021,43.1,16.6,17.9,2.5,31.6,1837,90.2
02015,Barrax,2020,43.4,15.9,18.5,2.5,31.2,1809,91.7
02015,Barrax,2019,43.1,16.6,18.8,2.6,29.3,1808,93.2
02015,Barrax,2018,42.7,17,18.6,2.6,29.1,1836,92.7
02015,Barrax,2017,42.1,17.8,18.6,2.6,29.3,1872,92.7
02015,Barrax,2016,42,18,18.2,2.6,26.7,1879,92.8
02015,Barrax,2015,41.7,18.6,18.5,2.7,26.5,1912,92.1
02016,Bienservida,2022,51.3,9.5,30.6,2,46,568,98.9
02016,Bienservida,2021,50.8,9.4,28.9,2,45.8,574,99
02016,Bienservida,2020,49.2,10.4,26.2,2.1,45,596,97.8
02016,Bienservida,2019,49.5,9.5,26.4,2,46.8,580,99
02016,Bienservida,2018,48.6,9.1,25.9,2.1,46.4,603,98
02016,Bienservida,2017,48.5,9.5,24.9,2.1,46,611,99.3
02016,Bienservida,2016,48.5,9.5,25.1,2.2,43.7,618,99.2
02016,Bienservida,2015,48.1,10.4,24.6,2.2,43.6,635,99.2
02017,Bogarra,2022,58.4,7.1,46.1,1.8,49.5,746,99.2
02017,Bogarra,2021,58.3,7.4,45.6,1.9,47.9,755,99.2
02017,Bogarra,2020,58.5,7.2,46,1.9,47.7,768,99.5
02017,Bogarra,2019,56.5,8.1,40.9,1.9,45.8,811,99.3
02017,Bogarra,2018,56.5,8.3,40.9,1.9,44.2,847,98.3
02017,Bogarra,2017,55.9,7.8,41.3,2,41.6,879,98.3
02017,Bogarra,2016,55.4,8.8,41.2,2,40.5,910,98.2
02017,Bogarra,2015,55,8.6,41.2,2,41.2,923,98.4
02018,Bonete,2022,48.2,11.7,25.7,2.4,30.4,980,87.4
02018,Bonete,2021,47.4,12.7,24.3,2.4,31.9,1002,85.9
02018,Bonete,2020,46.8,12.7,23,2.5,29.9,1029,85.3
02018,Bonete,2019,46.6,13.2,23.5,2.5,29.4,1027,84.7
02018,Bonete,2018,46.5,13.6,24.1,2.5,26.4,1052,84.5
02018,Bonete,2017,46.2,13.8,23.3,2.5,27.8,1059,85.2
02018,Bonete,2016,45,14.4,21.8,2.6,26.5,1099,84.7
02018,Bonete,2015,45.4,14.1,22.7,2.6,26.1,1104,83.9
02019,"Bonillo, El",2022,48.2,10.9,24.7,2.3,34,2621,97.4
02019,"Bonillo, El",2021,47.8,11.3,24.4,2.4,32.6,2672,97.1
02019,"Bonillo, El",2020,47.6,11.6,24.5,2.4,31.4,2691,96.9
02019,"Bonillo, El",2019,47.2,12.3,24.9,2.4,31.2,2696,97.1
02019,"Bonillo, El",2018,46.7,12.7,24.2,2.5,30.7,2748,97.1
02019,"Bonillo, El",2017,46.1,13.6,24,2.5,30,2810,97
02019,"Bonillo, El",2016,45.9,14,24.2,2.5,30.1,2838,97.4
02019,"Bonillo, El",2015,45.4,14.7,24.3,2.5,29.9,2889,97.5
02020,Carcelén,2022,53.7,10.6,38.2,2,46.3,490,91.6
02020,Carcelén,2021,53.6,10.5,39.3,2.1,43.3,484,93.2
02020,Carcelén,2020,52.7,11.5,37.9,2.1,43.9,496,92.1
02020,Carcelén,2019,53.5,10.5,39.7,2.1,41.9,494,93.9
02020,Carcelén,2018,54,10.4,40.9,2.1,41.8,501,95
02020,Carcelén,2017,54.3,10.2,41.3,2.1,40.9,499,93.3
02020,Carcelén,2016,53.5,11.4,41.2,2.1,37.1,516,94.4
02020,Carcelén,2015,52.5,12.3,40.3,2.1,39.6,529,95.4
02021,Casas de Juan Núñez,2022,44.2,16.7,21,2.2,40.1,1350,82.1
02021,Casas de Juan Núñez,2021,43.9,16.9,21.2,2.3,39.7,1356,83
02021,Casas de Juan Núñez,2020,44.2,16,22.1,2.3,39.4,1359,84.1
02021,Casas de Juan Núñez,2019,44.9,14.6,23.4,2.2,40.9,1327,85.9
02021,Casas de Juan Núñez,2018,44.8,14.8,23,2.3,40.6,1307,87.9
02021,Casas de Juan Núñez,2017,44.6,15.6,23.5,2.2,40.6,1275,89.2
02021,Casas de Juan Núñez,2016,44.2,15.9,23.1,2.3,38.9,1296,89.9
02021,Casas de Juan Núñez,2015,44.1,16.8,23.9,2.3,37.5,1322,90.4
02022,Casas de Lázaro,2022,58.8,1.2,42,1.9,47.4,326,99.4
02022,Casas de Lázaro,2021,57.8,2.5,40.7,2,44.4,322,97.8
02022,Casas de Lázaro,2020,56.7,3,38.3,2,43.5,329,97.9
02022,Casas de Lázaro,2019,56.5,3.5,37.5,2.1,43.1,349,98.9
02022,Casas de Lázaro,2018,56.5,4.4,38.2,2.1,41,364,98.4
02022,Casas de Lázaro,2017,56.3,4.3,39.7,2.1,41.8,345,98
02022,Casas de Lázaro,2016,56.2,5,39,2.1,39.6,359,98
02022,Casas de Lázaro,2015,55.8,6.1,38.9,2.2,36.3,378,98.4
02023,Casas de Ves,2022,53.1,7.8,34.8,2,43.5,561,91.4
02023,Casas de Ves,2021,53.8,6.4,35.3,2,43.5,561,92.9
02023,Casas de Ves,2020,54.9,6,36.1,2,44.8,565,94.7
02023,Casas de Ves,2019,54.9,6.7,36.2,2,42.8,564,95.7
02023,Casas de Ves,2018,54.6,6.7,36,2,43.3,569,95.6
02023,Casas de Ves,2017,54,7.1,35.5,2,43.9,592,94.9
02023,Casas de Ves,2016,53.1,8.7,34.7,2,44,629,94.4
02023,Casas de Ves,2015,52.4,9.4,34.9,2.1,45.6,657,94.2
02024,Casas-Ibáñez,2022,44.1,16.3,20.4,2.5,29.2,4575,84.9
02024,Casas-Ibáñez,2021,44,16.2,20.1,2.5,28.4,4537,86.7
02024,Casas-Ibáñez,2020,43.6,16.7,19.9,2.5,28.4,4516,86.9
02024,Casas-Ibáñez,2019,43.6,16.9,20.1,2.5,27.3,4519,87.3
02024,Casas-Ibáñez,2018,43.7,16.9,20.4,2.5,26.9,4515,87.9
02024,Casas-Ibáñez,2017,43.6,16.8,20.4,2.5,26.9,4511,88.8
02024,Casas-Ibáñez,2016,43.3,17,20.3,2.6,26,4536,88.8
02024,Casas-Ibáñez,2015,43.1,16.9,20.2,2.6,26.5,4541,89.2
02025,Caudete,2022,43,18.6,19.4,2.5,28.2,10077,89.4
02025,Caudete,2021,42.7,18.7,18.9,2.5,28.4,10025,89.6
02025,Caudete,2020,42.5,18.6,18.6,2.5,28.3,9959,89.8
02025,Caudete,2019,42.3,18.8,18.5,2.5,27.8,9911,89.7
02025,Caudete,2018,42,19,18.2,2.5,28,9903,90.2
02025,Caudete,2017,41.8,18.9,17.9,2.6,27.3,9885,90.5
02025,Caudete,2016,41.5,19,17.7,2.6,26.4,9933,91.1
02025,Caudete,2015,41.3,18.8,17.6,2.6,26.4,9986,90.3
02026,Cenizate,2022,44.9,15.5,21.2,2.7,25.2,1163,83.2
02026,Cenizate,2021,44.8,16.2,21.7,2.7,25.5,1172,83.4
02026,Cenizate,2020,44.1,17.1,21.5,2.7,24.9,1192,83.9
02026,Cenizate,2019,43.7,17,21.2,2.7,24.6,1202,82.8
02026,Cenizate,2018,43.5,17.1,21.6,2.8,24.2,1177,83.4
02026,Cenizate,2017,43.3,17.5,22,2.8,25.6,1181,84
02026,Cenizate,2016,43.2,17.9,21.9,2.8,22.8,1187,83.6
02026,Cenizate,2015,43.1,17.6,22.2,2.8,24.4,1202,83.5
02027,Corral-Rubio,2022,49.7,10.9,30.5,2.3,39.4,302,95.7
02027,Corral-Rubio,2021,50.6,9.3,30.7,2.2,42.7,300,98.7
02027,Corral-Rubio,2020,50.3,10.8,30.2,2.2,39.7,305,97.1
02027,Corral-Rubio,2019,50,10.9,29.6,2.3,39.4,311,96.8
02027,Corral-Rubio,2018,50.6,10.8,31.5,2.3,39.3,324,97.8
02027,Corral-Rubio,2017,51.1,11.6,33.1,2.4,35.7,329,98.2
02027,Corral-Rubio,2016,50.4,11.6,32,2.5,35.7,344,96.8
02027,Corral-Rubio,2015,51.4,9.3,34.1,2.4,33.6,355,98.3
02028,Cotillas,2022,56.1,4.6,32.3,1.8,47.9,130,98.5
02028,Cotillas,2021,55.5,3.9,29.5,1.8,47.9,129,97.7
02028,Cotillas,2020,55.4,3.8,31.1,1.9,46.5,132,97.8
02028,Cotillas,2019,56.5,3.5,33.1,1.8,44.8,131,97.5
02028,Cotillas,2018,56.5,3.5,32.8,1.8,44.9,128,97.6
02028,Cotillas,2017,56.1,4.6,33.1,2,38.5,130,97.7
02028,Cotillas,2016,56.2,6,34.3,2,37.3,134,97.7
02028,Cotillas,2015,55.4,6.3,33.8,1.9,41.1,142,97.8
02029,Chinchilla de Monte-Aragón,2022,41.9,17.6,15.1,2.4,32.7,4574,95.2
02029,Chinchilla de Monte-Aragón,2021,42,17.3,15.3,2.4,33.2,4453,95.3
02029,Chinchilla de Monte-Aragón,2020,42,17.6,15.6,2.4,33.4,4258,95.6
02029,Chinchilla de Monte-Aragón,2019,42.1,17.6,16.2,2.4,33.7,4159,95.5
02029,Chinchilla de Monte-Aragón,2018,41.9,17.4,16.4,2.5,32,4174,95.2
02029,Chinchilla de Monte-Aragón,2017,41.8,17.3,16.7,2.5,32.2,4173,95.3
02029,Chinchilla de Monte-Aragón,2016,41.4,17.5,16.4,2.5,30.8,4151,95
02029,Chinchilla de Monte-Aragón,2015,40.9,18.1,16.5,2.5,30.4,4175,95.4
02030,Elche de la Sierra,2022,45.9,14.9,23.1,2.3,33.7,3570,96.1
02030,Elche de la Sierra,2021,45.9,15,22.8,2.3,33.8,3552,97.5
02030,Elche de la Sierra,2020,45.5,15.4,22.7,2.3,33.8,3542,97.5
02030,Elche de la Sierra,2019,45.3,15.6,22.7,2.4,32.6,3528,98.2
02030,Elche de la Sierra,2018,45,15.8,22.9,2.4,32.8,3584,98.2
02030,Elche de la Sierra,2017,44.4,16.4,22.2,2.4,31.7,3636,98.2
02030,Elche de la Sierra,2016,44.3,15.8,22,2.5,30.6,3669,98.1
02030,Elche de la Sierra,2015,44.1,16.4,22,2.5,32.2,3717,98.4
02031,Férez,2022,49.1,12.3,29.1,2,49.8,619,95
02031,Férez,2021,49.2,12.6,29,2,46.3,613,96.9
02031,Férez,2020,49.4,12.4,30.7,2.1,44.3,629,96.5
02031,Férez,2019,49.4,13,31,2.2,42.4,629,95.9
02031,Férez,2018,49.9,13.8,31.4,2.3,37.5,644,96.9
02031,Férez,2017,49.6,14.4,30.7,2.3,35.2,674,96.1
02031,Férez,2016,49,14,30.4,2.4,33,677,96.5
02031,Férez,2015,47.7,15.9,29,2.4,33.1,696,95.7
02032,Fuensanta,2022,54.3,7.4,32.7,1.9,53.2,297,91.9
02032,Fuensanta,2021,54.9,6.8,35.2,1.9,50.7,281,94.7
02032,Fuensanta,2020,55,6.9,36.1,1.9,55.3,277,95
02032,Fuensanta,2019,54.4,7.2,36.5,1.8,48,293,94.2
02032,Fuensanta,2018,53.2,8.3,34.7,1.9,47.6,303,95
02032,Fuensanta,2017,51.7,9,32.2,1.9,47.9,301,94.6
02032,Fuensanta,2016,51.5,8.2,33,2,46.6,318,93.9
02032,Fuensanta,2015,51.9,7,34.3,2,46.7,315,92.9
02033,Fuente-Álamo,2022,44.8,15.9,21.9,2.4,31.8,2438,88.6
02033,Fuente-Álamo,2021,44.3,16.3,21.7,2.4,31.1,2461,88.2
02033,Fuente-Álamo,2020,44.2,16.1,21.6,2.4,31,2446,88.5
02033,Fuente-Álamo,2019,44,16.4,22.1,2.4,30.8,2475,88.3
02033,Fuente-Álamo,2018,43.8,16.6,22,2.5,29.6,2487,88.6
02033,Fuente-Álamo,2017,43.7,17.2,22.3,2.5,30.3,2488,89.1
02033,Fuente-Álamo,2016,43.4,17.8,22,2.5,29.1,2518,88.7
02033,Fuente-Álamo,2015,43,18,21.5,2.5,28.7,2558,88.6
02034,Fuentealbilla,2022,46.4,13.6,23.7,2.4,32.6,1828,83
02034,Fuentealbilla,2021,46.1,14.7,23,2.4,32.2,1781,82.9
02034,Fuentealbilla,2020,45.6,15.4,23.5,2.5,30.9,1811,83.8
02034,Fuentealbilla,2019,45.3,14.9,23.7,2.5,31.3,1814,84.8
02034,Fuentealbilla,2018,45.1,15.7,23.8,2.5,31.1,1772,86.1
02034,Fuentealbilla,2017,44.5,15.6,23.1,2.5,30.5,1822,86.9
02034,Fuentealbilla,2016,44.1,16,21.9,2.6,29.3,1859,87.3
02034,Fuentealbilla,2015,44,15.9,22.5,2.6,30,1883,86.8
02035,"Gineta, La",2022,41.6,19.4,17.1,2.5,27.9,2587,92.7
02035,"Gineta, La",2021,41.4,19.4,17,2.5,27.5,2547,92.6
02035,"Gineta, La",2020,41.3,19.1,16.7,2.6,27,2520,92.3
02035,"Gineta, La",2019,41.3,18.6,17.3,2.6,26.7,2505,92.2
02035,"Gineta, La",2018,41.1,18.8,16.8,2.5,27.5,2496,93.7
02035,"Gineta, La",2017,41.2,18.1,16.7,2.5,27,2417,94.4
02035,"Gineta, La",2016,41.2,17.6,16.4,2.5,26.6,2429,94.7
02035,"Gineta, La",2015,40.8,17.2,15.9,2.5,26.9,2477,95
02036,Golosalvo,2022,58.3,6.5,43.5,1.9,44.9,92,98.9
02036,Golosalvo,2021,58,6.1,42.9,2,37.5,98,99
02036,Golosalvo,2020,58.2,5.1,42.4,2.1,29.8,99,99
02036,Golosalvo,2019,NA,NA,NA,NA,NA,NA,NA
02036,Golosalvo,2018,56.5,6.7,40.4,2.1,30.6,128,98.1
02036,Golosalvo,2017,56.3,7.3,40,2.1,30.8,129,94.6
02036,Golosalvo,2016,55.8,7.3,34.5,2.1,28.8,129,93.6
02036,Golosalvo,2015,55.2,7.2,33.3,2.1,30.8,128,92.8
02037,Hellín,2022,42.2,17.4,17.4,2.6,29.1,30240,90
02037,Hellín,2021,42,17.5,17.1,2.6,28.8,30193,90.6
02037,Hellín,2020,41.8,17.8,17,2.6,28.3,30179,91
02037,Hellín,2019,41.7,18.1,17,2.6,28.7,30012,91.9
02037,Hellín,2018,41.4,18.4,16.9,2.6,28.5,30108,92
02037,Hellín,2017,41.1,18.8,16.8,2.6,28,30113,92.7
02037,Hellín,2016,40.8,19.2,16.8,2.7,27,30005,93.5
02037,Hellín,2015,40.5,19.5,16.6,2.7,26.5,30096,92.9
02038,"Herrera, La",2022,47.8,12.1,23.3,2.2,41.3,314,82.5
02038,"Herrera, La",2021,47.3,13.6,23.2,2.2,33.1,310,85.9
02038,"Herrera, La",2020,48.1,12.1,23.8,2.3,31.9,315,84.2
02038,"Herrera, La",2019,47.4,11.7,23.1,2.3,31.9,325,85.1
02038,"Herrera, La",2018,47.1,11,23.3,2.4,29.6,335,86.5
02038,"Herrera, La",2017,48.3,9.4,26.5,2.3,27.6,339,84.5
02038,"Herrera, La",2016,48.3,8.7,27,2.4,29.2,344,87.1
02038,"Herrera, La",2015,48.3,8.8,26.9,2.4,29.1,342,88.8
02039,Higueruela,2022,48.6,12.4,28,2.5,29,1150,94.6
02039,Higueruela,2021,48.1,13.2,27.2,2.5,28.7,1127,94.8
02039,Higueruela,2020,48.3,13.1,28,2.5,27.8,1144,95.1
02039,Higueruela,2019,48.2,14.3,29,2.5,30.8,1135,95.3
02039,Higueruela,2018,47.4,14.7,28.3,2.5,30.3,1160,95
02039,Higueruela,2017,46.9,15.4,27.5,2.5,30.4,1183,96.2
02039,Higueruela,2016,46.5,15.3,27,2.6,28.2,1199,96.6
02039,Higueruela,2015,46.3,15.4,26.3,2.6,27.8,1224,96.2
02040,Hoya-Gonzalo,2022,50.1,10.4,30.2,2.7,27.6,613,95.3
02040,Hoya-Gonzalo,2021,50.7,10,31.6,2.5,30.2,563,96.6
02040,Hoya-Gonzalo,2020,49.8,9.6,29.2,2.6,27.7,592,95.7
02040,Hoya-Gonzalo,2019,49,11.9,28.1,2.7,24.5,622,95.9
02040,Hoya-Gonzalo,2018,49.6,11.1,30,2.8,23.9,650,96.5
02040,Hoya-Gonzalo,2017,48.9,12.1,29.3,2.8,25.7,622,97.3
02040,Hoya-Gonzalo,2016,48.2,12.7,28.9,2.8,26.1,644,96.9
02040,Hoya-Gonzalo,2015,47.5,12.9,28.5,2.9,26.1,667,97.5
02041,Jorquera,2022,55.5,6.1,36.5,1.9,52.2,345,95.9
02041,Jorquera,2021,55.4,7.7,36.4,1.8,53.6,349,96.9
02041,Jorquera,2020,54.7,9.1,36.8,1.9,52.6,364,95.6
02041,Jorquera,2019,55.3,8.5,38.3,1.8,48,342,98.3
02041,Jorquera,2018,55,8.7,38.8,1.8,47.6,356,99.3
02041,Jorquera,2017,55,8.6,39.1,1.8,47.9,361,99.4
02041,Jorquera,2016,54.3,9.2,38.8,1.9,46.6,379,99.2
02041,Jorquera,2015,54.5,8.5,39.4,1.9,46.7,378,99.4
02042,Letur,2022,50.4,8.6,28.2,2.1,42.7,928,96.1
02042,Letur,2021,51,7.3,29.3,2.1,42.5,901,97
02042,Letur,2020,51,7.6,29.1,2.1,40.8,910,96.8
02042,Letur,2019,51.2,8.3,29.7,2.1,42.4,893,97.4
02042,Letur,2018,50.7,9.2,29.3,2.1,41.6,916,97.8
02042,Letur,2017,50.3,10.3,29,2.2,40.7,926,98.6
02042,Letur,2016,49.8,11.6,28.6,2.2,39.7,948,98.7
02042,Letur,2015,50,10.8,28.9,2.2,38.3,968,98.7
02043,Lezuza,2022,50.8,9.1,28.6,2.3,36.1,1302,95
02043,Lezuza,2021,50.4,9.9,28.1,2.3,34.7,1308,95.3
02043,Lezuza,2020,50,9.5,27.4,2.3,35.8,1323,94.6
02043,Lezuza,2019,50.1,9.7,28.8,2.3,35.1,1335,95
02043,Lezuza,2018,49.5,10.3,28.6,2.3,35.3,1359,95
02043,Lezuza,2017,49.3,10.8,29.2,2.4,34,1404,95.4
02043,Lezuza,2016,48.8,11.1,28.8,2.4,31.7,1417,95.6
02043,Lezuza,2015,48.2,12.1,28.4,2.4,30.5,1466,96.2
02044,Liétor,2022,52.2,8.7,31.7,2.1,41.7,1077,98.7
02044,Liétor,2021,52.5,8.1,31.4,2.1,40.4,1102,98.7
02044,Liétor,2020,51.9,8.7,31.3,2.1,39.8,1124,98.8
02044,Liétor,2019,51.7,10.2,31.9,2.1,39.8,1148,98.7
02044,Liétor,2018,51.6,10.5,32.1,2.1,41.1,1176,99.1
02044,Liétor,2017,50.8,10.8,31.8,2.1,40.3,1200,98.9
02044,Liétor,2016,50.2,11.3,31.6,2.2,38.3,1244,98.9
02044,Liétor,2015,48.9,12.5,30.2,2.2,38.2,1284,98.7
02045,Madrigueras,2022,44.4,17.8,22.6,2.6,26.6,4680,90.8
02045,Madrigueras,2021,44.3,17.8,22.4,2.5,26.5,4638,91.3
02045,Madrigueras,2020,44.2,17.4,21.9,2.6,26.7,4658,91.9
02045,Madrigueras,2019,44.1,17.3,21.9,2.6,26.8,4625,92.4
02045,Madrigueras,2018,43.9,17.3,22,2.6,25.7,4633,92.9
02045,Madrigueras,2017,43.6,17.3,21.6,2.6,26.4,4635,93.1
02045,Madrigueras,2016,43.6,16.9,21.7,2.6,25.3,4633,93.7
02045,Madrigueras,2015,43.2,16.8,21.7,2.6,25.9,4658,93.9
